Game_Number,XGID,Move,ND/NDR,DT/RDT,DD/RDD
232,XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:3:0:8,8/5 6/5,,,
232,XGID=-b---BD-B---eE---c-e----B-:0:0:-1:61:0:0:3:0:8,13/7 8/7,,,
232,XGID=-b---BD-B---dE---bbe----B-:0:0:1:32:0:0:3:0:8,24/21 13/11,,,
232,XGID=-b---BD-B--AdD---bbe-A--A-:0:0:-1:66:0:0:3:0:8,24/18(2) 13/7(2),,,
232,XGID=-----BDbB--AbD---bde-A--A-:0:0:1:44:0:0:3:0:8,8/4(2) 6/2(2),,,
232,XGID=--B-BBBb---AbD---bde-A--A-:0:0:-1:66:0:0:3:0:8,13/1*(2),,,
232,XGID=--B-BBBb---A-D---bde-A--bA:0:0:1:11:0:0:3:0:8,Cannot Move,,,
232,XGID=--B-BBBb---A-D---bde-A--bA:1:1:-1:D:0:0:3:0:8,,0.526,0.644,1.0
232,XGID=--B-BBBb---A-D---bde-A--bA:1:1:-1:62:0:0:3:0:8,7/1 6/4*,,,
232,XGID=--B-BBBb---A-D---bcd-a--cB:1:1:1:63:0:0:3:0:8,Bar/22,,,
232,XGID=--B-BBBb---A-D---bcd-aA-cA:1:1:-1:43:0:0:3:0:8,18/14* 7/4,,,
232,XGID=--B-BBBa---a-D---bbd-bA-cB:1:1:1:21:0:0:3:0:8,Bar/23,,,
232,XGID=--B-BBBa---a-D---bbd-bAAcA:1:1:-1:66:0:0:3:0:8,14/2* 8/2(2),,,
232,XGID=--B-BBBa-----D----bd-bAccB:1:1:1:65:0:0:3:0:8,Bar/20,,,
232,XGID=--B-BBBa-----D----bdAbAccA:1:1:-1:66:0:0:3:0:8,7/1(2),,,
232,XGID=--B-BBBa-----D-----dAbAceA:1:1:1:53:0:0:3:0:8,Bar/22 13/8,,,
232,XGID=--B-BBBaA----C-----dAbBce-:1:1:-1:52:0:0:3:0:8,18/11,,,
232,XGID=--B-BBB-A----Ca----dAbBce-:1:1:1:42:0:0:3:0:8,20/14*,,,
232,XGID=a-B-BBB-A----CA----d-bBce-:1:1:-1:31:0:0:3:0:8,Bar/22 2/1,,,
232,XGID=--BaBBB-A----CA----d-bBbf-:1:1:1:64:0:0:3:0:8,13/3*,,,
232,XGID=a-BABBB-A----BA----d-bBbf-:1:1:-1:33:0:0:3:0:8,Bar/22* 4/1(2),,,
232,XGID=--BaBBB-A----BA----d--BbhA:1:1:1:51:0:0:3:0:8,Bar/20 8/7,,,
232,XGID=--BaBBBA-----BA----dA-Bbh-:1:1:-1:41:0:0:3:0:8,22/18* 18/17,,,
232,XGID=--B-BBB-a----BA----dA-BbhA:1:1:1:42:0:0:3:0:8,Bar/21 20/18,,,
232,XGID=--B-BBB-a----BA---Ad-ABbh-:1:1:-1:61:0:0:3:0:8,17/11* 11/10,,,
232,XGID=--B-BBB------B-a--Ad-ABbhA:1:1:1:54:0:0:3:0:8,Bar/21 18/13,,,
232,XGID=--B-BBB------C-a---d-BBbh-:1:1:-1:62:0:0:3:0:8,10/2,,,
232,XGID=--B-BBB------C-----d-BBch-:1:1:1:21:0:0:3:0:8,13/12 13/11,,,
232,XGID=--B-BBB----AAA-----d-BBch-:1:1:-1:54:0:0:3:0:8,6/2 6/1,,,
232,XGID=--B-BBB----AAA-----b-BBdi-:1:1:1:51:0:0:3:0:8,21/20 12/7,,,
232,XGID=--B-BBBA---A-A-----bAABdi-:1:1:-1:64:0:0:3:0:8,6/2 6/Off,,,
232,XGID=--B-BBBA---A-A------AABei-:1:1:1:62:0:0:3:0:8,21/15 13/11,,,
232,XGID=--B-BBBA---B---A----A-Bei-:1:1:-1:51:0:0:3:0:8,2/Off 1/Off,,,
232,XGID=--B-BBBA---B---A----A-Bdh-:1:1:1:31:0:0:3:0:8,20/17 7/6,,,
232,XGID=--B-BBC----B---A-A----Bdh-:1:1:-1:41:0:0:3:0:8,2/Off 1/Off,,,
232,XGID=--B-BBC----B---A-A----Bcg-:1:1:1:66:0:0:3:0:8,22/16 22/10 15/9,,,
232,XGID=--B-BBC--AAB----AA-----cg-:1:1:-1:62:0:0:3:0:8,2/Off(2),,,
232,XGID=--B-BBC--AAB----AA-----ag-:1:1:1:63:0:0:3:0:8,17/11 9/6,,,
232,XGID=--B-BBD---AC----A------ag-:1:1:-1:54:0:0:3:0:8,2/Off 1/Off,,,
232,XGID=--B-BBD---AC----A-------f-:1:1:1:63:0:0:3:0:8,11/5 10/7,,,
232,XGID=--B-BCDA---B----A-------f-:1:1:-1:31:0:0:3:0:8,1/Off(2),,,
232,XGID=--B-BCDA---B----A-------d-:1:1:1:64:0:0:3:0:8,16/6,,,
232,XGID=--B-BCEA---B------------d-:1:1:-1:53:0:0:3:0:8,1/Off(2),,,
232,XGID=--B-BCEA---B------------b-:1:1:1:53:0:0:3:0:8,11/6 7/4,,,
232,XGID=--B-CCF----A------------b-:1:1:-1:64:0:0:3:0:8,1/Off(2),,,
233,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
233,XGID=-b----E-C---eE---c-e----B-:0:0:1:43:0:0:3:0:8,13/10 13/9,,,
233,XGID=-b----E-CAA-eC---c-e----B-:0:0:-1:52:0:0:3:0:8,24/22 13/8,,,
233,XGID=-a-a--E-CAA-dC---d-e----B-:0:0:1:21:0:0:3:0:8,24/22 10/9,,,
233,XGID=-a-a--E-CB--dC---d-e--A-A-:0:0:-1:63:0:0:3:0:8,24/15,,,
233,XGID=---a--E-CBa-dC---d-e--A-A-:0:0:1:21:0:0:3:0:8,13/10*,,,
233,XGID=a--a--E-CBA-dB---d-e--A-A-:0:0:-1:51:0:0:3:0:8,Bar/24 8/3*,,,
233,XGID=-a-a--E-CBA-dB---c-e--a-AA:0:0:1:54:0:0:3:0:8,Bar/20 24/20,,,
233,XGID=-a-a--E-CBA-dB---c-eB-a---:0:0:-1:31:0:0:3:0:8,24/21 22/21,,,
233,XGID=----b-E-CBA-dB---c-eB-a---:0:0:1:61:0:0:3:0:8,13/7 8/7,,,
233,XGID=----b-EBBBA-dA---c-eB-a---:0:0:-1:63:0:0:3:0:8,21/15* 6/3,,,
233,XGID=----a-EBBBa-dA---c-dB-b--A:0:0:1:42:0:0:3:0:8,Bar/21 6/4*,,,
233,XGID=a---A-DBBBa-dA---c-dBAb---:0:0:-1:51:0:0:3:0:8,Bar/20 13/12*,,,
233,XGID=----AaDBBBa-ca---c-dBAb--A:0:0:1:41:0:0:3:0:8,Bar/21 6/5*,,,
233,XGID=a---AACBBBa-ca---c-dBBb---:0:0:-1:62:0:0:3:0:8,Bar/23 12/6,,,
233,XGID=--a-AACBBBa-c----c-eBBb---:0:0:1:44:0:0:3:0:8,9/5(2) 8/4 6/2*,,,
233,XGID=a-A-BCBBA-a-c----c-eBBb---:0:0:-1:64:0:0:3:0:8,Cannot Move,,,
233,XGID=a-A-BCBBA-a-c----c-eBBb---:0:0:1:D:0:0:3:0:8,,0.814,1.223,1.0
234,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
234,XGID=-b----E-C---eE---c-e----B-:0:0:1:63:0:0:3:0:8,24/18 13/10,,,
234,XGID=-b----E-C-A-eD---cAe----A-:0:0:-1:61:0:0:3:0:8,13/7* 8/7,,,
234,XGID=-b----E-C-A-dD---bbe----AA:0:0:1:44:0:0:3:0:8,Bar/21 24/20 13/9(2),,,
234,XGID=-b----E-CBA-dB---bbeAA----:0:0:-1:31:0:0:3:0:8,8/5* 6/5,,,
234,XGID=-b----E-CBA-dB---abdbA---A:0:0:1:53:0:0:3:0:8,Bar/17*,,,
234,XGID=ab----E-CBA-dB---AbdbA----:0:0:-1:62:0:0:3:0:8,Bar/23 24/18,,,
234,XGID=-aa---EaCBA-dB---AbdbA----:0:0:1:41:0:0:3:0:8,21/17 10/9,,,
234,XGID=-aa---EaCC--dB---Bbdb-----:0:0:-1:43:0:0:3:0:8,24/20 23/20,,,
234,XGID=-----bEaCC--dB---Bbdb-----:0:0:1:41:0:0:3:0:8,9/4,,,
234,XGID=----AbEaCB--dB---Bbdb-----:0:0:-1:55:0:0:3:0:8,18/13 7/2(2) 6/1,,,
234,XGID=----AbE-CB--eB---B-cb--ba-:0:0:1:41:0:0:3:0:8,6/2 4/3,,,
234,XGID=--AA-bD-CB--eB---B-cb--ba-:0:0:-1:63:0:0:3:0:8,13/4,,,
234,XGID=--AA-bD-CB--dB---B-cba-ba-:0:0:1:21:0:0:3:0:8,6/4 3/2,,,
234,XGID=--B-AbC-CB--dB---B-cba-ba-:0:0:-1:54:0:0:3:0:8,13/4,,,
234,XGID=--B-AbC-CB--cB---B-cbb-ba-:0:0:1:52:0:0:3:0:8,8/3 6/4,,,
234,XGID=--BABbB-BB--cB---B-cbb-ba-:0:0:-1:42:0:0:3:0:8,13/7,,,
234,XGID=--BABbB-BB--bB---Bacbb-ba-:0:0:1:63:0:0:3:0:8,9/6 9/3,,,
234,XGID=--BBBbC-B---bB---Bacbb-ba-:0:0:-1:65:0:0:3:0:8,7/1 6/1,,,
234,XGID=--BBBbC-B---bB---B-bbb-bc-:0:0:1:32:0:0:3:0:8,6/1,,,
234,XGID=-ABBBbB-B---bB---B-bbb-bc-:0:0:-1:64:0:0:3:0:8,13/9 13/7,,,
234,XGID=-ABBBbB-B----B--aBabbb-bc-:0:0:1:52:0:0:3:0:8,13/6,,,
234,XGID=-ABBBbC-B----A--aBabbb-bc-:0:0:-1:61:0:0:3:0:8,9/3 4/3,,,
234,XGID=-ABBBbC-B----A---Babbabbc-:0:0:1:54:0:0:3:0:8,17/13 6/1,,,
234,XGID=-BBBBbB-B----B---Aabbabbc-:0:0:-1:43:0:0:3:0:8,7/4 6/2,,,
234,XGID=-BBBBbB-B----B---A-abbbcc-:0:0:1:31:0:0:3:0:8,17/13,,,
234,XGID=-BBBBbB-B----C-----abbbcc-:0:0:-1:63:0:0:3:0:8,20/11,,,
234,XGID=-BBBBaB-B----Ca----abbbcc-:0:0:1:22:0:0:3:0:8,13/5*,,,
234,XGID=aBBBBAB-B----Ba----abbbcc-:0:0:-1:53:0:0:3:0:8,Bar/20* 6/3,,,
234,XGID=-BBBBaB-B----Ba-----bbcccA:0:0:1:31:0:0:3:0:8,Cannot Move,,,
234,XGID=-BBBBaB-B----Ba-----bbcccA:0:0:-1:D:0:0:3:0:8,,0.812,1.435,1.0
235,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
235,XGID=-b----E-C---eE---c-e----B-:0:0:1:53:0:0:3:0:8,8/3 6/3,,,
235,XGID=-b-B--D-B---eE---c-e----B-:0:0:-1:22:0:0:3:0:8,13/11(2) 6/4(2),,,
235,XGID=-b-B--D-B---cEb--c-c-b--B-:0:0:1:21:0:0:3:0:8,24/23 13/11,,,
235,XGID=-b-B--D-B--AcDb--c-c-b-AA-:0:0:-1:32:0:0:3:0:8,24/21 13/11,,,
235,XGID=-a-Ba-D-B--AbDc--c-c-b-AA-:0:0:1:43:0:0:3:0:8,24/20 23/20,,,
235,XGID=-a-Ba-D-B--AbDc--c-cBb----:0:0:-1:52:0:0:3:0:8,21/14*,,,
235,XGID=-a-B--D-B--abDc--c-cBb---A:0:0:1:63:0:0:3:0:8,Bar/16,,,
235,XGID=-a-B--D-B--abDc-Ac-cBb----:0:0:-1:21:0:0:3:0:8,14/13 11/9*,,,
235,XGID=-a-B--D-B---cDb-ac-cBb---A:0:0:1:65:0:0:3:0:8,Bar/20 13/7,,,
235,XGID=-a-B--DAB---cCb-ac-cCb----:0:0:-1:62:0:0:3:0:8,24/18* 18/16,,,
235,XGID=---B--D-Ba--cCb-ac-cCb---A:0:0:1:65:0:0:3:0:8,Bar/20 13/7,,,
235,XGID=---B--DABa--cBb-ac-cDb----:0:0:-1:53:0:0:3:0:8,16/11 9/6,,,
235,XGID=---B--DAB---cBc--c-dDb----:0:0:1:22:0:0:3:0:8,20/18(2) 7/5 6/4,,,
235,XGID=---BAAC-B---cBc--cBdBb----:0:0:-1:61:0:0:3:0:8,11/4,,,
235,XGID=---BAAC-B---cBb--cBdBc----:0:0:1:53:0:0:3:0:8,13/5,,,
235,XGID=---BABC-B---cAb--cBdBc----:0:0:-1:65:0:0:3:0:8,13/2,,,
235,XGID=---BABC-B---bAb--cBdBc-a--:0:0:1:44:0:0:3:0:8,13/5 8/4 6/2,,,
235,XGID=--ABBCB-A---b-b--cBdBc-a--:0:0:-1:32:0:0:3:0:8,6/3 4/2,,,
235,XGID=--ABBCB-A---b-b--cBcBbab--:0:0:1:33:0:0:3:0:8,18/15(2) 8/2,,,
235,XGID=--BBBCB-----b-bB-c-cBbab--:0:0:-1:55:0:0:3:0:8,13/8(2) 11/6(2),,,
235,XGID=--BBBCB--------B-e-eBbab--:0:0:1:31:0:0:3:0:8,15/11,,,
235,XGID=--BBBCB----A---A-e-eBbab--:0:0:-1:D:0:0:3:0:8,,0.973,1.357,1.0
236,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
236,XGID=-b----E-C---eE---c-e----B-:0:0:1:63:0:0:3:0:8,24/18 13/10,,,
236,XGID=-b----E-C-A-eD---cAe----A-:0:0:-1:65:0:0:3:0:8,13/7* 6/1*,,,
236,XGID=-b----E-C-A-dD---cad----aB:0:0:1:52:0:0:3:0:8,Bar/23 Bar/20,,,
236,XGID=-b----E-C-A-dD---cadA--Aa-:0:0:-1:31:0:0:3:0:8,8/5* 6/5,,,
236,XGID=-b----E-C-A-dD---bacb--AaA:0:0:1:65:0:0:3:0:8,Cannot Move,,,
236,XGID=-b----E-C-A-dD---bacb--AaA:1:1:-1:D:0:0:3:0:8,,0.612,0.661,1.0
236,XGID=-b----E-C-A-dD---bacb--AaA:1:1:-1:11:0:0:3:0:8,24/22 7/5,,,
236,XGID=-a-a--E-C-A-dD---b-cc--AaA:1:1:1:43:0:0:3:0:8,Bar/21 13/10,,,
236,XGID=-a-a--E-C-B-dC---b-ccA-Aa-:1:1:-1:41:0:0:3:0:8,6/2* 2/1,,,
236,XGID=-a-a--E-C-B-dC---b-bcA--bA:1:1:1:62:0:0:3:0:8,Bar/23 21/15,,,
236,XGID=-a-a--E-C-B-dC-A-b-bc--Ab-:1:1:-1:61:0:0:3:0:8,13/6,,,
236,XGID=-a-a--E-C-B-cC-A-b-cc--Ab-:1:1:1:43:0:0:3:0:8,15/8,,,
236,XGID=-a-a--E-D-B-cC---b-cc--Ab-:1:1:-1:65:0:0:3:0:8,24/13,,,
236,XGID=---a--E-D-B-dC---b-cc--Ab-:1:1:1:43:0:0:3:0:8,13/9 6/3*,,,
236,XGID=a--A--D-DAB-dB---b-cc--Ab-:1:1:-1:52:0:0:3:0:8,Bar/23 13/8,,,
236,XGID=--aA--D-DAB-cB---c-cc--Ab-:1:1:1:21:0:0:3:0:8,6/3,,,
236,XGID=--aB--C-DAB-cB---c-cc--Ab-:1:1:-1:21:0:0:3:0:8,6/4 5/4,,,
236,XGID=--aB--C-DAB-cB---c-bbb-Ab-:1:1:1:65:0:0:3:0:8,10/4 9/4,,,
236,XGID=--aBB-C-D-A-cB---c-bbb-Ab-:1:1:-1:11:0:0:3:0:8,4/2*(2),,,
236,XGID=--aBB-C-D-A-cB---c-bb--bbA:1:1:1:31:0:0:3:0:8,Bar/21,,,
236,XGID=--aBB-C-D-A-cB---c-bbA-bb-:1:1:-1:54:0:0:3:0:8,23/18 8/4*,,,
236,XGID=---BB-CaD-A-cB---b-bba-bbA:1:1:1:54:0:0:3:0:8,Bar/21* 21/16,,,
236,XGID=a--BB-CaD-A-cB--Ab-bb--bb-:1:1:-1:64:0:0:3:0:8,Cannot Move,,,
236,XGID=a--BB-CaD-A-cB--Ab-bb--bb-:1:1:1:53:0:0:3:0:8,16/11 10/7*,,,
236,XGID=b--BB-CAD--AcB---b-bb--bb-:1:1:-1:32:0:0:3:0:8,Bar/23,,,
236,XGID=a-aBB-CAD--AcB---b-bb--bb-:1:1:1:62:0:0:3:0:8,11/5 7/5,,,
236,XGID=a-aBBBC-D---cB---b-bb--bb-:1:1:-1:66:0:0:3:0:8,Cannot Move,,,
236,XGID=a-aBBBC-D---cB---b-bb--bb-:1:1:1:54:0:0:3:0:8,8/3 6/2*,,,
236,XGID=b-ACBBB-C---cB---b-bb--bb-:1:1:-1:65:0:0:3:0:8,Cannot Move,,,
236,XGID=b-ACBBB-C---cB---b-bb--bb-:1:1:1:61:0:0:3:0:8,8/7 8/2,,,
236,XGID=b-BCBBBAA---cB---b-bb--bb-:1:1:-1:33:0:0:3:0:8,Cannot Move,,,
236,XGID=b-BCBBBAA---cB---b-bb--bb-:1:1:1:63:0:0:3:0:8,13/7 8/5,,,
236,XGID=b-BCBCBB----cA---b-bb--bb-:1:1:-1:42:0:0:3:0:8,Cannot Move,,,
236,XGID=b-BCBCBB----cA---b-bb--bb-:1:1:1:22:0:0:3:0:8,7/1 3/1,,,
236,XGID=bBBBBCBA----cA---b-bb--bb-:1:1:-1:31:0:0:3:0:8,Cannot Move,,,
236,XGID=bBBBBCBA----cA---b-bb--bb-:1:1:1:21:0:0:3:0:8,13/11 7/6,,,
236,XGID=bBBBBCC----Ac----b-bb--bb-:1:1:-1:32:0:0:3:0:8,Cannot Move,,,
236,XGID=bBBBBCC----Ac----b-bb--bb-:1:1:1:41:0:0:3:0:8,11/7 5/4,,,
236,XGID=bBBBCBCA----c----b-bb--bb-:1:1:-1:54:0:0:3:0:8,Cannot Move,,,
236,XGID=bBBBCBCA----c----b-bb--bb-:1:1:1:32:0:0:3:0:8,7/4 6/4,,,
236,XGID=bBBBEBB-----c----b-bb--bb-:1:1:-1:63:0:0:3:0:8,Cannot Move,,,
236,XGID=bBBBEBB-----c----b-bb--bb-:1:1:1:44:0:0:3:0:8,6/2(2) 4/Off(2),,,
236,XGID=bBDBCB------c----b-bb--bb-:1:1:-1:21:0:0:3:0:8,Cannot Move,,,
236,XGID=bBDBCB------c----b-bb--bb-:1:1:1:32:0:0:3:0:8,4/1 2/Off,,,
236,XGID=bCCBBB------c----b-bb--bb-:1:1:-1:53:0:0:3:0:8,Cannot Move,,,
236,XGID=bCCBBB------c----b-bb--bb-:1:1:1:63:0:0:3:0:8,5/2 5/Off,,,
236,XGID=bCDBB-------c----b-bb--bb-:1:1:-1:63:0:0:3:0:8,Bar/19,,,
236,XGID=aCDBB-a-----c----b-bb--bb-:1:1:1:61:0:0:3:0:8,4/3 4/Off,,,
236,XGID=aCDC--a-----c----b-bb--bb-:1:1:-1:62:0:0:3:0:8,Bar/19 8/6,,,
236,XGID=-CDC--b-----c----a-cb--bb-:1:1:1:53:0:0:3:0:8,3/Off(2),,,
236,XGID=-CDA--b-----c----a-cb--bb-:1:1:-1:32:0:0:3:0:8,19/16 13/11,,,
236,XGID=-CDA--a--a--b-a--a-cb--bb-:1:1:1:53:0:0:3:0:8,3/Off 2/Off,,,
236,XGID=-CC---a--a--b-a--a-cb--bb-:1:1:-1:66:0:0:3:0:8,19/7 16/10 11/5,,,
236,XGID=-CC---------b--a-aacc--bb-:1:1:1:21:0:0:3:0:8,2/Off 1/Off,,,
236,XGID=-BB---------b--a-aacc--bb-:1:1:-1:64:0:0:3:0:8,13/7 10/6,,,
236,XGID=-BB---------a----abdc--bb-:1:1:1:62:0:0:3:0:8,2/Off(2),,,
236,XGID=-B----------a----abdc--bb-:1:1:-1:41:0:0:3:0:8,13/8,,,
236,XGID=-B---------------bbdc--bb-:1:1:1:31:0:0:3:0:8,1/Off(2),,,
237,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
237,XGID=-b----E-C---eE---c-e----B-:0:0:1:65:0:0:3:0:8,24/13,,,
237,XGID=-b----E-C---eF---c-e----A-:0:0:-1:42:0:0:3:0:8,8/4 6/4,,,
237,XGID=-b----E-C---eF---b-d-b--A-:0:0:1:65:0:0:3:0:8,24/13,,,
237,XGID=-b----E-C---eG---b-d-b----:0:0:-1:32:0:0:3:0:8,24/21 13/11,,,
237,XGID=-a--a-E-C---dGa--b-d-b----:0:0:1:64:0:0:3:0:8,8/2 6/2,,,
237,XGID=-aB-a-D-B---dGa--b-d-b----:0:0:-1:63:0:0:3:0:8,11/5 8/5,,,
237,XGID=-aB-a-D-B---dG---a-dbb----:0:0:1:43:0:0:3:0:8,13/6,,,
237,XGID=-aB-a-E-B---dF---a-dbb----:0:0:-1:43:0:0:3:0:8,13/9 6/3,,,
237,XGID=-aB-a-E-B---cF--aa-cbba---:0:0:1:42:0:0:3:0:8,8/4* 6/4,,,
237,XGID=aaB-B-D-A---cF--aa-cbba---:0:0:-1:51:0:0:3:0:8,Bar/20 9/8,,,
237,XGID=-aB-BaD-A---cF---b-cbba---:0:0:1:52:0:0:3:0:8,13/8 6/4,,,
237,XGID=-aB-CaC-B---cE---b-cbba---:0:0:-1:43:0:0:3:0:8,24/20 6/3,,,
237,XGID=--B-CbC-B---cE---b-bbbb---:0:0:1:54:0:0:3:0:8,13/4,,,
237,XGID=--B-DbC-B---cD---b-bbbb---:0:0:-1:66:0:0:3:0:8,13/7(3) 8/2,,,
237,XGID=--B-DbC-B----D---acbbbba--:0:0:1:41:0:0:3:0:8,13/8,,,
237,XGID=--B-DbC-C----C---acbbbba--:0:0:-1:61:0:0:3:0:8,8/2 7/6,,,
237,XGID=--B-DbC-C----C----bcbbbb--:0:0:1:64:0:0:3:0:8,13/3,,,
237,XGID=--BADbC-C----B----bcbbbb--:0:0:-1:43:0:0:3:0:8,7/4 7/3,,,
237,XGID=--BADbC-C----B-----cbccb--:0:0:1:63:0:0:3:0:8,8/2 6/3,,,
237,XGID=--CBDbB-B----B-----cbccb--:0:0:-1:43:0:0:3:0:8,6/2 4/1,,,
237,XGID=--CBDbB-B----B-----bbbcca-:0:0:1:32:0:0:3:0:8,13/8,,,
237,XGID=--CBDbB-C----A-----bbbcca-:0:0:-1:61:0:0:3:0:8,20/14 2/1,,,
237,XGID=--CBDaB-C--a-A-----bbbcbb-:0:0:1:65:0:0:3:0:8,13/2,,,
237,XGID=--DBDaB-C--a-------bbbcbb-:0:0:-1:64:0:0:3:0:8,14/4,,,
237,XGID=--DBDaB-C----------bbccbb-:0:0:1:41:0:0:3:0:8,8/4 2/1,,,
237,XGID=-ACBEaB-B----------bbccbb-:0:0:-1:42:0:0:3:0:8,20/14,,,
237,XGID=-ACBE-B-B--a-------bbccbb-:0:0:1:61:0:0:3:0:8,8/2 6/5,,,
237,XGID=-ADBEAA-A--a-------bbccbb-:0:0:-1:44:0:0:3:0:8,14/6 4/Off(2),,,
237,XGID=-ADBEAA-A----------cbacbb-:0:0:1:66:0:0:3:0:8,8/2 6/Off 5/Off 4/Off,,,
237,XGID=-AEBD--------------cbacbb-:0:0:-1:65:0:0:3:0:8,6/Off 5/Off,,,
237,XGID=-AEBD--------------baacbb-:0:0:1:51:0:0:3:0:8,4/Off 1/Off,,,
237,XGID=--EBC--------------baacbb-:0:0:-1:61:0:0:3:0:8,6/Off 1/Off,,,
237,XGID=--EBC--------------aaacba-:0:0:1:61:0:0:3:0:8,4/Off 2/1,,,
237,XGID=-ADBB--------------aaacba-:0:0:-1:00:0:0:3:0:8,,0.335,0.242,1.0
237,XGID=-ADBB--------------aaacba-:0:0:-1:62:0:0:3:0:8,6/Off 2/Off,,,
237,XGID=-ADBB---------------aacaa-:0:0:1:41:0:0:3:0:8,4/Off 1/Off,,,
237,XGID=--DBA---------------aacaa-:1:1:-1:D:0:0:3:0:8,,0.624,0.68,1.0
237,XGID=--DBA---------------aacaa-:1:1:-1:54:0:0:3:0:8,5/Off 4/Off,,,
237,XGID=--DBA-----------------caa-:1:1:1:32:0:0:3:0:8,3/Off 2/Off,,,
237,XGID=--CAA-----------------caa-:1:1:-1:52:0:0:3:0:8,3/Off 2/Off,,,
237,XGID=--CAA-----------------b-a-:1:1:1:52:0:0:3:0:8,4/Off 2/Off,,,
237,XGID=--BA------------------b-a-:1:1:-1:63:0:0:3:0:8,3/Off(2),,,
237,XGID=--BA--------------------a-:1:1:1:64:0:0:3:0:8,3/Off 2/Off,,,
237,XGID=--A---------------------a-:1:1:-1:32:0:0:3:0:8,1/Off,,,
238,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
238,XGID=-b----E-C---eE---c-e----B-:0:0:1:41:0:0:3:0:8,24/23 13/9,,,
238,XGID=-b----E-CA--eD---c-e---AA-:0:0:-1:42:0:0:3:0:8,8/4 6/4,,,
238,XGID=-b----E-CA--eD---b-d-b-AA-:0:0:1:31:0:0:3:0:8,8/5 6/5,,,
238,XGID=-b---BD-BA--eD---b-d-b-AA-:0:0:-1:63:0:0:3:0:8,24/15,,,
238,XGID=-a---BD-BAa-eD---b-d-b-AA-:0:0:1:11:0:0:3:0:8,6/4(2),,,
238,XGID=-a--BBB-BAa-eD---b-d-b-AA-:0:0:-1:32:0:0:3:0:8,15/10,,,
238,XGID=-a--BBB-BA--eD-a-b-d-b-AA-:0:0:1:00:0:0:3:0:8,,0.357,0.232,1.0
238,XGID=-a--BBB-BA--eD-a-b-d-b-AA-:0:0:1:65:0:0:3:0:8,24/18 23/18,,,
238,XGID=-a--BBB-BA--eD-a-bBd-b----:0:0:-1:64:0:0:3:0:8,24/14,,,
238,XGID=----BBB-BA-aeD-a-bBd-b----:0:0:1:00:0:0:3:0:8,,0.498,0.49,1.0
238,XGID=----BBB-BA-aeD-a-bBd-b----:0:0:1:61:0:0:3:0:8,13/7 9/8,,,
238,XGID=----BBBAC--aeC-a-bBd-b----:0:0:-1:53:0:0:3:0:8,14/9 13/10,,,
238,XGID=----BBBAC---dC-babBd-b----:0:0:1:31:0:0:3:0:8,8/5 7/6,,,
238,XGID=----BCC-B---dC-babBd-b----:0:0:-1:41:0:0:3:0:8,13/9 6/5,,,
238,XGID=----BCC-B---cC-bbbBcab----:0:0:1:66:0:0:3:0:8,13/7(2) 13/1,,,
238,XGID=-A--BCCBB---c--bbbBcab----:0:0:-1:42:0:0:3:0:8,6/2 4/2,,,
238,XGID=-A--BCCBB---c--bbbBbaa-b--:0:0:1:21:0:0:3:0:8,4/1,,,
238,XGID=-B--ACCBB---c--bbbBbaa-b--:0:0:-1:41:0:0:3:0:8,13/9 4/3,,,
238,XGID=-B--ACCBB---b--bcbBba-ab--:0:0:1:31:0:0:3:0:8,6/3 5/4,,,
238,XGID=-B-ABBBBB---b--bcbBba-ab--:0:0:-1:53:0:0:3:0:8,8/5 8/3,,,
238,XGID=-B-ABBBBB---b--bc-Bbb-bb--:0:0:1:41:0:0:3:0:8,8/3,,,
238,XGID=-B-BBBBBA---b--bc-Bbb-bb--:0:0:-1:63:0:0:3:0:8,9/3 5/2,,,
238,XGID=-B-BBBBBA---b--bb-Bba-cc--:0:0:1:55:0:0:3:0:8,18/8(2),,,
238,XGID=-B-BBBBBC---b--bb--ba-cc--:0:0:-1:66:0:0:3:0:8,13/7(2) 10/4(2),,,
238,XGID=-B-BBBBBC-------b-bbabcc--:0:0:1:43:0:0:3:0:8,8/5 8/4,,,
238,XGID=-B-BCCBBA-------b-bbabcc--:0:0:-1:21:0:0:3:0:8,7/6 7/5,,,
238,XGID=-B-BCCBBA-------b--cbbcc--:0:0:1:00:0:0:3:0:8,,0.321,0.21,1.0
238,XGID=-B-BCCBBA-------b--cbbcc--:0:0:1:22:0:0:3:0:8,8/6 7/5(2) 4/2,,,
238,XGID=-BABBEC---------b--cbbcc--:0:0:-1:62:0:0:3:0:8,9/1,,,
238,XGID=-BABBEC---------a--cbbcca-:0:0:1:00:0:0:3:0:8,,0.405,0.337,1.0
238,XGID=-BABBEC---------a--cbbcca-:0:0:1:33:0:0:3:0:8,6/Off 3/Off(2),,,
